"numenq","sch_lev","farm_f","trad_f","exec_f","tech_f","whc_f","blc_f","noocc_f","farm_m","trad_m","exec_m","tech_m","whc_m","blc_m","noocc_m","orfr","oroecd","orother","foreign","late6","urban","male","age98","date_first","full_first","wage_first","employed_36","full_36","wage_36","experience_36","employed_60","full_60","wage_60","experience_60"
"100001",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,19,9,1,952,0,,,8,1,0,,28
"100041",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,18,53,0,,0,,,0,0,,,4
"100042",2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,21,12,1,747,1,1,1258,24,1,1,1258,48
"100048",2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,17,7,0,,1,0,,29,1,0,,30
"100064",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,21,12,0,,1,1,701,24,1,0,,46
"100068",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,17,9,1,266,1,1,915,18,1,0,,31
"100099",2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,19,7,1,925,1,1,595,27,0,,,31
"100106",2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,19,9,1,915,1,1,1372,27,1,1,1372,51
"100114",2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,18,10,1,945,1,1,1191,26,1,1,1191,50
"100161",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,20,13,0,,1,0,,16,1,0,,33
"100172",2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,18,14,,,1,1,1382,22,0,,,41
"100187",2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,18,29,0,,1,0,,7,1,0,,31
"100198",2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,20,37,1,809,0,,,0,0,,,12
"100243",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,17,52,0,,0,,,0,0,,,1
"100244",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,19,2,1,793,1,0,,14,1,1,1291,37
"100245",2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,21,7,1,1524,1,1,1150,29,1,1,1150,53
"100250",2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,22,7,0,,1,1,1220,29,1,1,1128,44
"100257",2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,,,0,1,1,0,18,43,1,1208,0,,,0,1,1,787,17
"100262",2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,20,7,1,1143,1,1,1082,29,1,1,762,53
